config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,16,243,35.20557407407407,0.9222076903292233,34.546190072016465,38.8546646090535,559.131,623.0824,1096.4663200000061
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,4096,6,6.010059041341146,0.05438667805989539,5.939199178059895,6.497996541341146,24500.040500000003,26101.962750000002,28674.728099999986
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,4,3000,11.022032916666667,0.5044197083333319,10.749127666666666,12.190449500000001,42.258,59.11109999999999,71.93001000000001
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,1,216,696.0928888888889,17.45965046296294,682.3433425925925,755.7268981481482,680.759,904.002,1044.4902499999998
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_dmatrix,16384,5,5.319141320800782,2.615136810302735,3.538724499511719,6.34936279296875,99207.874,104851.2417,109519.85432000001
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_sklearn,4096,7,4.846789690290178,0.15497164481026715,4.313795968191965,5.328835414341518,19678.335,22654.2188,27451.528319999998
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_sklearn,64,251,9.75623923057769,0.4433905938745024,9.540211777888446,10.653433329183267,604.828,734.979,961.3942000000001
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,16384,5,6.003928869628906,0.11566874999999932,5.965900427246093,6.1329533447265625,97725.097,106607.41249999999,107155.20752
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_onnx,32,692,7.176500903179191,0.4240542133309235,7.02016112716763,9.9583262283237,223.7815,343.65175,375.0590600000008
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_inplace,4096,7,4.727331787109375,0.16065349469865975,4.512950230189732,5.123310581752232,19301.28,22735.291400000002,25493.071999999986
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_onnx,512,27,9.460872685185183,0.18944129774305551,9.155216724537036,10.282921006944445,4798.211,5544.7028,6063.999240000001
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,512,31,8.372143901209679,1.481769751764114,6.030067855342741,8.686531186995968,4189.345,4804.316,6194.550400000004
